item_id,name,slug,kind,family,public_url,state,promotion_identity,notes
monitor:product-price,Product Price Monitor,product-price,monitor capability,Money,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:restock-availability,Restock & Availability Monitor,restock-availability,monitor capability,Money,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:subscription-price-change,Subscription Price Change Monitor,subscription-price-change,monitor capability,Money,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:airfare,Airfare Monitor,airfare,monitor capability,Money,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:hotel-rate,Hotel Rate Monitor,hotel-rate,monitor capability,Money,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:rental-car-rate,Rental Car Rate Monitor,rental-car-rate,monitor capability,Money,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:event-ticket-price,Event Ticket Price Monitor,event-ticket-price,monitor capability,Money,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:fee-change,Fee Change Monitor,fee-change,monitor capability,Money,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:sale-price-history,Price & Sale History Monitor,sale-price-history,monitor capability,Money,,Internal Only,no,Internal capability/backlog; consolidated under Clarity monitoring service and not a standalone launch identity.
monitor:website-uptime,Website Uptime Monitor,website-uptime,monitor capability,Your Internet,https://claritybelongs.com/products/website-uptime,Working V1 / QA Required,yes,Approved public watch in shared Clarity follow/history service.
monitor:ssl-expiration,SSL Expiration Monitor,ssl-expiration,monitor capability,Your Internet,https://claritybelongs.com/products/ssl-expiration,Working V1 / QA Required,yes,Approved public watch in shared Clarity follow/history service.
monitor:domain-expiration,Domain Expiration Monitor,domain-expiration,monitor capability,Your Internet,https://claritybelongs.com/products/domain-expiration,Working V1 / QA Required,yes,Approved public watch in shared Clarity follow/history service.
